1st: #157
bedsit: #BED517
BEE: #BEE
be-east: #BEEA57
beebee: #BEEBEE
beefed: #BEEFED
beelol: #BEE101
beetle: #BEE71E
BEF: #BEF
befall: #BEFA11
befell: #BEFE11
befile: #BEF11E
befist: #BEF157
befits: #BEF175
befit's: #BEF175
beflea: #BEF1EA
befool: #BEF001
Beisel: #BE15E1
Bel: #BE1
belace: #BE1ACE
Belait: #BE1A17
belast: #BE1A57
belate: #BE1A7E
beleaf: #BE1EAF
beleed: #BE1EED
beleft: #BE1EF7
Belial: #BE11A1
belied: #BE11ED
belief: #BE11EF
belies: #BE11E5
Belili: #BE1111
Belita: #BE117A
belite: #BE117E
Bellda: #BE11DA
belled: #BE11ED
belles: #BE11E5
belle's: #BE11E5
bellic: #BE111C
Bellis: #BE1115
Belloc: #BE110C
Bellot: #BE1107
beloid: #BE101D
Beloit: #BE1017
belted: #BE17ED
beltie: #BE171E
Beltis: #BE1715
BES: #BE5
bes-: #BE5
bescab: #BE5CAB
besets: #BE5E75
beside: #BE51DE
beslab: #BE51AB
besoil: #BE5011
besoot: #BE5007
besots: #BE5075
Bessel: #BE55E1
besses: #BE55E5
Bessie: #BE551E
bestab: #BE57AB
bestad: #BE57AD
bested: #BE57ED
bet: #BE7
bet.: #BE7
betail: #BE7A11
betell: #BE7E11
betels: #BE7E15
betide: #BE71DE
betise: #BE715E
betoil: #BE7011
betoss: #BE7055
bettas: #BE77A5
betted: #BE77ED
BFA: #BFA
BFD: #BFD
BFS: #BF5
BFT: #BF7
Bia: #B1A
biacid: #B1AC1D
bialis: #B1A115
biased: #B1A5ED
biases: #B1A5E5
Bib: #B1B
Bib.: #B1B
bibbed: #B1BBED
Bibbie: #B1BB1E
bibble: #B1BB1E
bibles: #B1B1E5
bible's: #B1B1E5
Biblic: #B1B11C
biblio-: #B1B110
biblos: #B1B105
Bicols: #B1C015
BID: #B1D
bid-ale: #B1DA1E
Biddie: #B1DD1E
Biddle: #B1DD1E
bidets: #B1DE75
BIE: #B1E
Biebel: #B1EBE1
bields: #B1E1D5
Bielid: #B1E11D
bietle: #B1E71E
biface: #B1FACE
biffed: #B1FFED
bifoil: #B1F011
bifold: #B1F01D
Bil: #B11
bilabe: #B11ABE
bilalo: #B11A10
Bilati: #B11A71
Bilbao: #B11BA0
bilbie: #B11B1E
bilboa: #B11B0A
bilbos: #B11B05
Bildad: #B11DAD
Billat: #B111A7
billed: #B111ED
billet: #B111E7
Billie: #B1111E
billot: #B11107
bilobe: #B110BE
bio: #B10
bio-: #B10
biosis: #B10515
biotas: #B107A5
biotic: #B1071C
BIS: #B15
bis-: #B15
bisalt: #B15A17
Bisbee: #B15BEE
Biscoe: #B15C0E
biscot: #B15C07
bisect: #B15EC7
Bisset: #B155E7
BIT: #B17
bitted: #B177ED
bittie: #B1771E
BLA: #B1A
bladed: #B1ADED
blades: #B1ADE5
blade's: #B1ADE5
Blaise: #B1A15E
Blasia: #B1A51A
blasto-: #B1A570
blasts: #B1A575
Blatta: #B1A77A
blatti: #B1A771
bld: #B1D
ble: #B1E
bleats: #B1EA75
bleeds: #B1EED5
blesse: #B1E55E
Bletia: #B1E71A
BLF: #B1F
BLI: #B11
bliest: #B11E57
Blisse: #B1155E
blites: #B117E5
BLL: #B11
blo: #B10
bloats: #B10A75
bloods: #B100D5
blooie: #B1001E
blotto: #B10770
BLS: #B15
BLT: #B17
boa: #B0A
boasts: #B0A575
boated: #B0A7ED
boatel: #B0A7E1
boatie: #B0A71E
Bob: #B0B
bobbed: #B0BBED
Bobbee: #B0BBEE
Bobbie: #B0BB1E
bobble: #B0BB1E
bobcat: #B0BCA7
boblet: #B0B1E7
BOC: #B0C
bocces: #B0CCE5
boccia: #B0CC1A
boccie: #B0CC1E
boccis: #B0CC15
BOD: #B0D
boddle: #B0DD1E
bodice: #B0D1CE
bodied: #B0D1ED
bodies: #B0D1E5
boe: #B0E
BOF: #B0F
boffos: #B0FF05
Boidae: #B01DAE
boiled: #B011ED
boites: #B017E5
Bol: #B01
Bol.: #B01
bolded: #B01DED
boldos: #B01D05
bolete: #B01E7E
boleti: #B01E71
bolide: #B011DE
bolita: #B0117A
bolled: #B011ED
boloed: #B010ED
bolted: #B017ED
boltel: #B017E1
boo: #B00
boobed: #B00BED
boobie: #B00B1E
booboo: #B00B00
boo-boo: #B00B00
boodie: #B00D1E
boodle: #B00D1E
boosts: #B00575
booted: #B007ED
bootee: #B007EE
Bootes: #B007E5
Bootid: #B0071D
bootie: #B0071E
Bootle: #B0071E
BOQ: #B09
BOS: #B05
bossed: #B055ED
bosses: #B055E5
bosset: #B055E7
bostal: #B057A1
Bostic: #B0571C
BOT: #B07
bot.: #B07
botels: #B07E15
botete: #B07E7E
bottle: #B0771E
Bs/L: #B51
BSA: #B5A
BSC: #B5C
BSD: #B5D
BSE: #B5E
BSF: #B5F
BSI: #B51
BSL: #B51
BSO: #B50
BSS: #B55
BST: #B57
BTE: #B7E
BTL: #B71
btl.: #B71
BTO: #B70
BTS: #B75
C.A.F.: #CAF
C.B.D.: #CBD
C.B.E.: #CBE
C.I.O.: #C10
C.O.D.: #C0D
CAA: #CAA
CAB: #CAB
cabala: #CABA1A
Caball: #CABA11
cabals: #CABA15
cabasa: #CABA5A
cabbed: #CABBED
cabbie: #CABB1E
cabble: #CABB1E
Cabell: #CABE11
cabiai: #CAB1A1
cabled: #CAB1ED
cables: #CAB1E5
cablet: #CAB1E7
cabobs: #CAB0B5
Cabool: #CAB001
cabots: #CAB075
CAC: #CAC
cac-: #CAC
cacaos: #CACA05
caccia: #CACC1A
cactal: #CAC7A1
CAD: #CAD
cadbit: #CADB17
cadded: #CADDED
Caddie: #CADD1E
caddis: #CADD15
caddle: #CADD1E
Cadell: #CADE11
cadets: #CADE75
Cadott: #CAD077
CAE: #CAE
cae-: #CAE
caecal: #CAECA1
CAF: #CAF
caffle: #CAFF1E
cafila: #CAF11A
CAI: #CA1
Caicos: #CA1C05
caille: #CA111E
caisse: #CA155E
caitif: #CA171F
Cal: #CA1
Cal.: #CA1
calaba: #CA1ABA
calade: #CA1ADE
Calais: #CA1A15
calced: #CA1CED
calces: #CA1CE5
calcic: #CA1C1C
calcio-: #CA1C10
calesa: #CA1E5A
Calica: #CA11CA
calico: #CA11C0
Calida: #CA11DA
califs: #CA11F5
calili: #CA1111
Calisa: #CA115A
Calise: #CA115E
Calite: #CA117E
Callao: #CA11A0
Callas: #CA11A5
callat: #CA11A7
called: #CA11ED
Calles: #CA11E5
callet: #CA11E7
callid: #CA111D
Callie: #CA111E
calloo: #CA1100
Callot: #CA1107
calool: #CA1001
CAS: #CA5
casaba: #CA5ABA
casabe: #CA5ABE
Casals: #CA5A15
casate: #CA5A7E
cascol: #CA5C01
caseic: #CA5E1C
casita: #CA517A
Cassel: #CA55E1
Cassia: #CA551A
Cassie: #CA551E
Cassil: #CA5511
CASSIS: #CA5515
casted: #CA57ED
castes: #CA57E5
Castle: #CA571E
CAT: #CA7
cat.: #CA7
catalo: #CA7A10
cat-bed: #CA7BED
CATLAS: #CA71A5
Catlee: #CA71EE
catsos: #CA7505
catted: #CA77ED
cattie: #CA771E
cattle: #CA771E
CBC: #CBC
CBD: #CBD
CBE: #CBE
CBI: #CB1
CBS: #CB5
CCA: #CCA
CCC: #CCC
CCD: #CCD
CCF: #CCF
CCI: #CC1
CCL: #CC1
CCS: #CC5
CCT: #CC7
CDA: #CDA
CDB: #CDB
CDC: #CDC
CDF: #CDF
CDI: #CD1
CDO: #CD0
CDS: #CD5
CDT: #CD7
CEA: #CEA
ceased: #CEA5ED
ceases: #CEA5E5
Ceb: #CEB
cebell: #CEBE11
cebids: #CEB1D5
ceboid: #CEB01D
CEC: #CEC
Cecile: #CEC11E
cecils: #CEC115
CED: #CED
Cedell: #CEDE11
cee: #CEE
CEF: #CEF
CEI: #CE1
ceibas: #CE1BA5
ceibos: #CE1B05
ceiled: #CE11ED
celebe: #CE1EBE
celebs: #CE1EB5
celiac: #CE11AC
celite: #CE117E
cellae: #CE11AE
celled: #CE11ED
cellos: #CE1105
Celsia: #CE151A
Celtic: #CE171C
Celtis: #CE1715
CEO: #CE0
CEQ: #CE9
cessed: #CE55ED
cesses: #CE55E5
cessio: #CE5510
cestas: #CE57A5
cestoi: #CE5701
cestos: #CE5705
CET: #CE7
cet-: #CE7
CFA: #CFA
CFB: #CFB
CFC: #CFC
CFD: #CFD
CFE: #CFE
CFF: #CFF
CFI: #CF1
CFL: #CF1
CFO: #CF0
cfs: #CF5
CIA: #C1A
Ciales: #C1A1E5
CIB: #C1B
Cibola: #C1B01A
Cibolo: #C1B010
cibols: #C1B015
CIC: #C1C
cicada: #C1CADA
cicala: #C1CA1A
cicale: #C1CA1E
Ciccia: #C1CC1A
CID: #C1D
CIE: #C1E
CIF: #C1F
CII: #C11
cilice: #C111CE
CIO: #C10
CIS: #C15
cis-: #C15
ciscos: #C15C05
cisele: #C15E1E
Cissie: #C1551E
cistae: #C157AE
cisted: #C157ED
cistic: #C1571C
CIT: #C17
cit.: #C17
citess: #C17E55
citied: #C171ED
cities: #C171E5
citola: #C1701A
citole: #C1701E
clasts: #C1A575
cle: #C1E
cleats: #C1EA75
cledde: #C1EDDE
clefts: #C1EF75
cleft's: #C1EF75
cleoid: #C1E01D
Cleota: #C1E07A
Cletis: #C1E715
CLI: #C11
cliffs: #C11FF5
cliff's: #C11FF5
clifts: #C11F75
clites: #C117E5
clitia: #C1171A
clitic: #C1171C
Clo: #C10
cloaca: #C10ACA
Cloete: #C10E7E
Cloots: #C10075
closed: #C105ED
closes: #C105E5
closet: #C105E7
CLS: #C15
coacts: #C0AC75
coaita: #C0A17A
coalas: #C0A1A5
coaled: #C0A1ED
coasts: #C0A575
coated: #C0A7ED
coatee: #C0A7EE
Coates: #C0A7E5
coatie: #C0A71E
coatis: #C0A715
COB: #C0B
cobaea: #C0BAEA
cobalt: #C0BA17
cobbed: #C0BBED
Cobbie: #C0BB1E
cobble: #C0BB1E
cobcab: #C0BCAB
cobias: #C0B1A5
cobles: #C0B1E5
cobola: #C0B01A
coboss: #C0B055
COC: #C0C
coccal: #C0CCA1
coccic: #C0CC1C
coccid: #C0CC1D
coclea: #C0C1EA
Cocles: #C0C1E5
cocoas: #C0C0A5
COD: #C0D
codded: #C0DDED
coddle: #C0DD1E
codecs: #C0DEC5
codeia: #C0DE1A
Codell: #C0DE11
codist: #C0D157
COE: #C0E
coecal: #C0ECA1
coedit: #C0ED17
coelia: #C0E11A
coelio-: #C0E110
Coello: #C0E110
Coffea: #C0FFEA
Coffee: #C0FFEE
coffle: #C0FF1E
COI: #C01
coifed: #C01FED
coiffe: #C01FFE
coiled: #C011ED
coital: #C017A1
Col: #C01
col-: #C01
Col.: #C01
Colada: #C01ADA
colate: #C01A7E
colead: #C01EAD
Coleta: #C01E7A
Colias: #C011A5
colics: #C011C5
colies: #C011E5
co-life: #C011FE
collab: #C011AB
collat: #C011A7
collat.: #C011A7
collet: #C011E7
Collie: #C0111E
Collis: #C01115
Colloq: #C01109
colloq.: #C01109
colobi: #C010B1
colola: #C0101A
coloss: #C01055
Coltee: #C017EE
COO: #C00
cooboo: #C00B00
coocoo: #C00C00
coo-coo: #C00C00
coodle: #C00D1E
cooeed: #C00EED
cooees: #C00EE5
cooled: #C001ED
coolie: #C0011E
cootie: #C0071E
COQ: #C09
COS: #C05
coscet: #C05CE7
Coscob: #C05C0B
coseat: #C05EA7
cosecs: #C05EC5
cosets: #C05E75
cosied: #C051ED
cosies: #C051E5
cossas: #C055A5
cosset: #C055E7
cossic: #C0551C
cossid: #C0551D
cossie: #C0551E
costae: #C057AE
costal: #C057A1
costed: #C057ED
COT: #C07
Cotati: #C07A71
cotele: #C07E1E
cotice: #C071CE
cotise: #C0715E
cotset: #C075E7
cottae: #C077AE
cottas: #C077A5
cotted: #C077ED
cottid: #C0771D
Cottle: #C0771E
CSA: #C5A
CSB: #C5B
CSC: #C5C
CSD: #C5D
CSE: #C5E
csects: #C5EC75
CSF: #C5F
CSI: #C51
CSL: #C51
CSO: #C50
CSS: #C55
CST: #C57
CTA: #C7A
CTC: #C7C
CTD: #C7D
cte: #C7E
ctf: #C7F
CTO: #C70
CTS: #C75
cts.: #C75
CTT: #C77
D.B.E.: #DBE
D.C.L.: #DC1
D.D.S.: #DD5
D.F.C.: #DFC
D.O.A.: #D0A
D.S.C.: #D5C
D.S.O.: #D50
D.Sc.: #D5C
D1-C: #D1C
D2-D: #D2D
DAB: #DAB
dabbed: #DABBED
dabble: #DABB1E
dablet: #DAB1E7
daboia: #DAB01A
Dabolt: #DAB017
DAC: #DAC
Dacelo: #DACE10
dacite: #DAC17E
dacoit: #DAC017
DAD: #DAD
daddle: #DADD1E
dadoed: #DAD0ED
dadoes: #DAD0E5
DAE: #DAE
Daedal: #DAEDA1
daffed: #DAFFED
Daffie: #DAFF1E
daffle: #DAFF1E
daidle: #DA1D1E
daised: #DA15ED
daisee: #DA15EE
daises: #DA15E5
Daisie: #DA151E
Dal: #DA1
dalasi: #DA1A51
Dalila: #DA111A
Dallas: #DA11A5
dalles: #DA11E5
Dallis: #DA1115
